experiment_version,model_name,run,component,tp,fp,tn,fn,precision,recall,f1_score,f2_score,accuracy_score
CI-RFS-G3F,gpt-5.2,1,ALTERNATIVES,6,25,2245,4,0.1935483871,0.6,0.2926829268,0.4225352113,0.9872807018
CI-RFS-G3F,gpt-5.2,1,Total,166,252,6412,10,0.3971291866,0.9431818182,0.5589225589,0.7397504456,0.9616959064
CI-RFS-G3F,gpt-5.2,2,GOAL,109,80,2090,1,0.5767195767,0.9909090909,0.72909699,0.86645469,0.9644736842
CI-RFS-G3F,gpt-5.2,2,NEED,52,140,2084,4,0.2708333333,0.9285714286,0.4193548387,0.625,0.9368421053
CI-RFS-G3F,gpt-5.2,2,ALTERNATIVES,6,21,2249,4,0.2222222222,0.6,0.3243243243,0.447761194,0.9890350877
CI-RFS-G3F,gpt-5.2,2,Total,167,241,6423,9,0.4093137255,0.9488636364,0.5719178082,0.7508992806,0.9634502924
CI-RFS-G3F,gpt-5.2,Voting,GOAL,109,86,2084,1,0.558974359,0.9909090909,0.7147540984,0.8582677165,0.9618421053
CI-RFS-G3F,gpt-5.2,Voting,NEED,52,133,2091,4,0.2810810811,0.9285714286,0.4315352697,0.6356968215,0.9399122807
CI-RFS-G3F,gpt-5.2,Voting,ALTERNATIVES,5,22,2248,5,0.1851851852,0.5,0.2702702703,0.3731343284,0.9881578947
CI-RFS-G3F,gemini-3-flash-preview,Voting,Total,166,339,6325,10,32.87%,94.32%,48.75%,68.65%,94.90%
CI-RFS-G3F,gpt-5.2,Average,Total,165.6666667,248.3333333,6415.666667,10.33333333,0.4002245604,0.9412878788,0.5616314737,0.7409499338,0.9621832359
CI-RFS-G3F,gemini-3-flash-preview,0,GOAL,109,119,2051,1,0.4780701754,0.9909090909,0.6449704142,0.8158682635,0.9473684211
CI-RFS-G3F,gemini-3-flash-preview,0,NEED,52,176,2048,4,0.2280701754,0.9285714286,0.3661971831,0.5752212389,0.9210526316
CI-RFS-G3F,gemini-3-flash-preview,0,ALTERNATIVES,7,46,2224,3,0.1320754717,0.7,0.2222222222,0.376344086,0.9785087719
CI-RFS-G3F,gemini-3-flash-preview,0,Total,168,341,6323,8,0.3300589391,0.9545454545,0.4905109489,0.692497939,0.9489766082
CI-RFS-G3F,gemini-3-flash-preview,1,GOAL,109,119,2051,1,0.4780701754,0.9909090909,0.6449704142,0.8158682635,0.9473684211
CI-RFS-G3F,gemini-3-flash-preview,1,NEED,52,209,2015,4,0.1992337165,0.9285714286,0.3280757098,0.5360824742,0.9065789474
CI-RFS-G3F,gemini-3-flash-preview,1,ALTERNATIVES,6,56,2214,4,0.09677419355,0.6,0.1666666667,0.2941176471,0.9736842105
CI-RFS-G3F,gemini-3-flash-preview,1,Total,167,384,6280,9,0.3030852995,0.9488636364,0.4594222834,0.6653386454,0.9425438596
CI-RFS-G3F,gemini-3-flash-preview,2,GOAL,109,120,2050,1,0.4759825328,0.9909090909,0.6430678466,0.8146487294,0.9469298246
CI-RFS-G3F,gemini-3-flash-preview,2,NEED,53,187,2037,3,0.2208333333,0.9464285714,0.3581081081,0.5711206897,0.9166666667
CI-RFS-G3F,gemini-3-flash-preview,2,ALTERNATIVES,6,38,2232,4,0.1363636364,0.6,0.2222222222,0.3571428571,0.9815789474
CI-RFS-G3F,gemini-3-flash-preview,2,Total,168,345,6319,8,0.3274853801,0.9545454545,0.4876632801,0.690221857,0.9483918129
CI-RFS-G3F,gemini-3-flash-preview,Voting,GOAL,109,117,2053,1,0.482300885,0.9909090909,0.6488095238,0.8183183183,0.948245614
CI-RFS-G3F,gemini-3-flash-preview,Voting,NEED,51,184,2040,5,0.2170212766,0.9107142857,0.3505154639,0.5555555556,0.9171052632
CI-RFS-G3F,gemini-3-flash-preview,Voting,ALTERNATIVES,6,38,2232,4,0.1363636364,0.6,0.2222222222,0.3571428571,0.9815789474
CI-RFS,gemini-3-flash-preview,Voting,Total,167,402,6262,9,29.35%,94.89%,44.83%,65.59%,93.99%
CI-RFS-G3F,gemini-3-flash-preview,Average,Total,167.6666667,356.6666667,6307.333333,8.333333333,0.3202098729,0.9526515152,0.4791988375,0.6828960127,0.9466374269
